aX,aY,aZ,gX,gY,gZ
0.799,1.964,0.559,98.694,11.597,171.631
0.801,1.696,0.672,34.607,-196.228,121.094
0.664,1.577,0.488,-21.301,-304.443,59.143
0.604,1.633,0.532,-33.752,-297.241,19.714
0.403,1.844,0.6,-15.747,-199.463,1.587
0.205,1.957,0.666,3.906,-48.218,-11.414
0.005,1.992,0.679,2.319,53.467,-28.87
-0.306,2.06,0.78,-30.151,81.055,-36.56
-0.62,1.942,1.02,-77.087,69.214,-23.865
-0.695,1.787,1.268,-114.685,40.771,2.38
-0.562,1.593,1.506,-123.535,-4.578,28.992
-0.287,1.394,1.532,-92.346,-54.443,36.255
-0.134,1.229,1.428,-35.706,-75.012,22.217
-0.092,1.069,1.223,13,-37.354,5.676
-0.06,0.887,1.023,37.598,23.987,-3.967
-0.072,0.683,0.849,37.048,58.289,-8.606
-0.077,0.518,0.791,16.724,55.969,-10.62
-0.032,0.381,0.746,-12.329,32.898,-9.033
0.015,0.311,0.796,-39.551,7.935,-9.033
0.036,0.298,0.9,-54.626,-9.155,-10.315
0.063,0.312,1.018,-52.673,-15.503,-8.728
0.094,0.297,1.063,-35.828,-14.465,-5.554
0.118,0.339,1.053,-12.512,-5.615,-4.211
0.113,0.355,1.011,5.127,6.409,-6.287
0.09,0.341,0.957,12.146,13.794,-8.972
0.085,0.313,0.911,10.498,12.39,-9.155
0.097,0.275,0.887,3.357,3.418,-6.531
0.09,0.215,0.857,-5.737,-7.507,-2.563
0.114,0.173,0.843,-13.184,-17.517,0.488
0.135,0.152,0.83,-17.883,-23.804,0.244
0.111,0.167,0.821,-18.86,-25.818,-3.296
0.07,0.206,0.807,-17.09,-21.667,-8.362
0.036,0.278,0.821,-15.442,-12.817,-14.038
-0.038,0.332,0.878,-13.428,-4.272,-17.517
-0.076,0.332,0.913,-8.85,3.479,-17.456
-0.08,0.355,0.925,-1.526,10.681,-13.489
-0.081,0.33,0.936,4.944,14.465,-7.324
-0.052,0.282,0.922,7.751,15.198,-0.183
-0.014,0.252,0.906,8.911,14.343,7.263
0.023,0.235,0.882,8.362,12.268,12.817
0.073,0.239,0.879,5.127,11.292,15.442
0.119,0.239,0.898,-0.122,10.742,12.634
